Match Id,Team,Opponent,Bowling,O,M,R,W,ER
1,New Zealand,Australia,Daryl Tuffey,4.0,0.0,50.0,1.0,12.5
1,New Zealand,Australia,Kyle Mills,4.0,0.0,44.0,3.0,11.0
1,New Zealand,Australia,Chris Cairns,4.0,0.0,28.0,1.0,7.0
1,New Zealand,Australia,Jeffrey Wilson,4.0,0.0,43.0,0.0,10.75
1,New Zealand,Australia,Andre Adams,4.0,0.0,40.0,0.0,10.0
1,Australia,New Zealand,Brett Lee,4.0,0.0,26.0,1.0,6.5
1,Australia,New Zealand,Glenn McGrath,4.0,0.0,48.0,2.0,12.0
1,Australia,New Zealand,Michael Kasprowicz,4.0,0.0,29.0,4.0,7.25
1,Australia,New Zealand,James Hopes,3.0,0.0,23.0,1.0,7.67
1,Australia,New Zealand,Andrew Symonds,3.0,0.0,33.0,1.0,11.0
1,Australia,New Zealand,Michael Clarke,2.0,0.0,11.0,0.0,5.5
2,Australia,England,Brett Lee,3.0,0.0,31.0,0.0,10.33
2,Australia,England,Glenn McGrath,4.0,0.0,31.0,3.0,7.75
2,Australia,England,Michael Kasprowicz,3.0,0.0,28.0,1.0,9.33
2,Australia,England,Jason Gillespie,4.0,0.0,49.0,1.0,12.25
2,Australia,England,Michael Clarke,3.0,0.0,25.0,1.0,8.33
2,Australia,England,Andrew Symonds,3.0,0.0,14.0,2.0,4.67
2,England,Australia,Darren Gough,3.0,0.0,16.0,3.0,5.33
2,England,Australia,Johnathan Lewis,4.0,0.0,24.0,4.0,6.0
2,England,Australia,Steve Harmison,2.3,0.0,13.0,1.0,5.2
2,England,Australia,Andrew Flintoff,3.0,0.0,15.0,0.0,5.0
2,England,Australia,Paul Collingwood,2.0,0.0,8.0,2.0,4.0
4,South Africa,Australia,Shaun Pollock,4.0,0.0,34.0,1.0,8.5
4,South Africa,Australia,Garnett Kruger,4.0,0.0,29.0,0.0,7.25
4,South Africa,Australia,Monde Zondeki,3.0,0.0,41.0,1.0,13.67
4,South Africa,Australia,Andrew Hall,4.0,0.0,38.0,0.0,9.5
4,South Africa,Australia,Johan Botha,4.0,0.0,43.0,1.0,10.75
4,South Africa,Australia,Jacques Kallis,1.0,0.0,17.0,0.0,17.0
4,Australia,South Africa,Nathan Bracken,3.0,0.0,9.0,2.0,3.0
4,Australia,South Africa,Michael Lewis,3.3,0.0,18.0,2.0,5.14
4,Australia,South Africa,Stuart Clark,4.0,0.0,35.0,1.0,8.75
4,Australia,South Africa,James Hopes,4.0,0.0,26.0,2.0,6.5
4,Australia,South Africa,Andrew Symonds,4.0,0.0,26.0,2.0,6.5
5,New Zealand,West Indies,James Franklin,4.0,0.0,21.0,0.0,5.25
5,New Zealand,West Indies,Shane Bond,4.0,0.0,15.0,2.0,3.75
5,New Zealand,West Indies,Scott Styris,4.0,0.0,33.0,2.0,8.25
5,New Zealand,West Indies,Chris Cairns,4.0,0.0,24.0,0.0,6.0
5,New Zealand,West Indies,Jeetan Patel,4.0,0.0,27.0,1.0,6.75
5,West Indies,New Zealand,Ian Bradshaw,4.0,0.0,22.0,0.0,5.5
5,West Indies,New Zealand,Jerome Taylor,3.0,0.0,30.0,2.0,10.0
5,West Indies,New Zealand,Deighton Butler,3.0,0.0,22.0,0.0,7.33
5,West Indies,New Zealand,Dwayne Bravo,2.4,0.0,16.0,2.0,6.0
5,West Indies,New Zealand,Dwayne Smith,3.2,0.0,9.0,2.0,2.7
5,West Indies,New Zealand,Chris Gayle,4.0,0.0,22.0,2.0,5.5
6,Australia,South Africa,Brett Lee,3.0,0.0,15.0,0.0,5.0
6,Australia,South Africa,Nathan Bracken,4.0,0.0,44.0,1.0,11.0
